Method,Name,Error,Occurrences
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:58.102Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:32.425Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:40.229Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:31.679Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:27.990Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:54.092Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:53.087Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:19.615Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:48.922Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:00.529Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:35.323Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",2
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:24.590Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:47.879Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:46.571Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:18.580Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:35.849Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:25.646Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:27.572Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:23.968Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:42.266Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:58.411Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:25.808Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:23.890Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:26.460Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:29.449Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",2
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:32.889Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:27.259Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:14.442Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:36.630Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:50.285Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:28.106Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:38.334Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:55.310Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:47.754Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:57.481Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=502, body=<html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></center>\r\n</body>\r\n</html>\r\n')",412
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:24.200Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",2
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:29.149Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:28.856Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:54.420Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:01.494Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:52.174Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:07.363Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:18.301Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:21.449Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:56.732Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:38.377Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:42.329Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:30.443Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:19.242Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:05.747Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:53.549Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:39.432Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:48.919Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:43.314Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:44.300Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:31.482Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",2
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:47.572Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:20.288Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:52.545Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:20.202Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:34.699Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:53.089Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:55.467Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:52.183Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:34.253Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:21.284Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:53.885Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:58.449Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:15.582Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:28.419Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:46.477Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:59.451Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:44.192Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:17.751Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:30.440Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:26.546Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:22.177Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:25.842Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:52.173Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:32.541Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:24.747Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:52.169Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:55.745Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:30.546Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:26.441Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:25.839Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:43.316Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:31.480Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:25.838Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:48.552Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:24.866Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:23.954Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:47.882Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:47.450Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:43.510Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:10.611Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:21.582Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:37.230Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:01:23.969Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:31.486Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:17.444Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
POST,POST /notifications [EMAIL],"CatchResponseError('Unexpected status=500, body={""timestamp"":""2026-04-21T10:02:50.424Z"",""status"":500,""error"":""Internal Server Error"",""path"":""/notifications""}')",1
